,instant,dteday,season,weathersit,temp,casual,registered
1,1,2011-01-01,1,2,14.1,331,654
2,2,2011-01-02,1,2,14.9,131,670
3,3,2011-01-03,1,1,8.1,120,1229
4,4,2011-01-04,1,1,8.2,108,1454
5,5,2011-01-05,1,1,9.3,82,1518
6,6,2011-01-06,1,1,8.4,88,1518
7,7,2011-01-07,1,2,8.1,148,1362
8,8,2011-01-08,1,2,6.8,68,891
9,9,2011-01-09,1,1,5.7,54,768
10,10,2011-01-10,1,1,6.2,41,1280
11,11,2011-01-11,1,2,6.9,43,1220
12,12,2011-01-12,1,1,7.1,25,1137
13,13,2011-01-13,1,1,6.8,38,1368
14,14,2011-01-14,1,1,6.6,54,1367
15,15,2011-01-15,1,2,9.6,222,1026
16,16,2011-01-16,1,1,9.5,251,953
17,17,2011-01-17,1,2,7.2,117,883
18,18,2011-01-18,1,2,8.9,9,674
19,19,2011-01-19,1,2,12.0,78,1572
20,20,2011-01-20,1,2,10.7,83,1844
21,21,2011-01-21,1,1,7.3,75,1468
22,22,2011-01-22,1,1,2.4,93,888
23,23,2011-01-23,1,1,4.0,150,836
24,24,2011-01-24,1,1,4.0,86,1330
25,25,2011-01-25,1,2,9.2,186,1799
26,26,2011-01-26,1,3,8.9,34,472
27,27,2011-01-27,1,1,8.0,15,416
28,28,2011-01-28,1,2,8.3,38,1129
29,29,2011-01-29,1,1,8.1,123,975
30,30,2011-01-30,1,1,8.9,140,956
31,31,2011-01-31,1,2,7.4,42,1459
32,32,2011-02-01,1,2,7.9,47,1313
33,33,2011-02-02,1,2,10.7,72,1454
34,34,2011-02-03,1,1,7.7,61,1489
35,35,2011-02-04,1,2,8.7,88,1620
36,36,2011-02-05,1,2,9.6,100,905
37,37,2011-02-06,1,1,11.7,354,1269
38,38,2011-02-07,1,1,11.1,120,1592
39,39,2011-02-08,1,1,9.1,64,1466
40,40,2011-02-09,1,2,5.5,53,1552
41,41,2011-02-10,1,1,5.9,47,1491
42,42,2011-02-11,1,1,7.8,149,1597
43,43,2011-02-12,1,1,9.1,288,1184
44,44,2011-02-13,1,1,13.0,397,1192
45,45,2011-02-14,1,1,17.0,208,1705
46,46,2011-02-15,1,1,10.9,140,1675
47,47,2011-02-16,1,1,13.0,218,1897
48,48,2011-02-17,1,1,17.9,259,2216
49,49,2011-02-18,1,1,21.4,579,2348
50,50,2011-02-19,1,1,16.4,532,1103
51,51,2011-02-20,1,1,11.7,639,1173
52,52,2011-02-21,1,2,12.4,195,912
53,53,2011-02-22,1,1,7.5,74,1376
54,54,2011-02-23,1,1,9.1,139,1778
55,55,2011-02-24,1,2,12.1,100,1707
56,56,2011-02-25,1,2,14.9,120,1341
57,57,2011-02-26,1,1,11.6,424,1545
58,58,2011-02-27,1,1,14.1,694,1708
59,59,2011-02-28,1,2,16.7,81,1365
60,60,2011-03-01,1,1,10.9,137,1714
61,61,2011-03-02,1,1,13.7,231,1903
62,62,2011-03-03,1,1,8.1,123,1562
63,63,2011-03-04,1,2,10.7,214,1730
64,64,2011-03-05,1,2,15.8,640,1437
65,65,2011-03-06,1,2,15.4,114,491
66,66,2011-03-07,1,1,10.7,244,1628
67,67,2011-03-08,1,1,12.0,316,1817
68,68,2011-03-09,1,2,12.1,191,1700
69,69,2011-03-10,1,3,16.0,46,577
70,70,2011-03-11,1,2,13.0,247,1730
71,71,2011-03-12,1,1,13.5,724,1408
72,72,2011-03-13,1,1,15.8,982,1435
73,73,2011-03-14,1,1,13.3,359,1687
74,74,2011-03-15,1,2,13.0,289,1767
75,75,2011-03-16,1,2,15.0,321,1871
76,76,2011-03-17,1,1,17.0,424,2320
77,77,2011-03-18,1,1,22.1,884,2355
78,78,2011-03-19,1,1,19.4,1424,1693
79,79,2011-03-20,1,1,13.6,1047,1424
80,80,2011-03-21,2,2,17.6,401,1676
81,81,2011-03-22,2,1,18.1,460,2243
82,82,2011-03-23,2,2,14.2,203,1918
83,83,2011-03-24,2,2,11.7,166,1699
84,84,2011-03-25,2,1,10.8,300,1910
85,85,2011-03-26,2,1,10.9,981,1515
86,86,2011-03-27,2,2,10.4,472,1221
87,87,2011-03-28,2,1,10.8,222,1806
88,88,2011-03-29,2,1,12.4,317,2108
89,89,2011-03-30,2,2,12.3,168,1368
90,90,2011-03-31,2,3,11.0,179,1506
91,91,2011-04-01,2,2,12.3,307,1920
92,92,2011-04-02,2,2,12.9,898,1354
93,93,2011-04-03,2,1,15.5,1651,1598
94,94,2011-04-04,2,1,23.5,734,2381
95,95,2011-04-05,2,2,17.0,167,1628
96,96,2011-04-06,2,1,16.0,413,2395
97,97,2011-04-07,2,1,17.9,571,2570
98,98,2011-04-08,2,2,13.8,172,1299
99,99,2011-04-09,2,2,14.0,879,1576
100,100,2011-04-10,2,2,17.5,1188,1707
101,101,2011-04-11,2,2,24.4,855,2493
102,102,2011-04-12,2,2,20.6,257,1777
103,103,2011-04-13,2,2,16.9,209,1953
104,104,2011-04-14,2,1,19.2,529,2738
105,105,2011-04-15,2,1,18.3,642,2484
106,106,2011-04-16,2,3,17.7,121,674
107,107,2011-04-17,2,1,18.7,1558,2186
108,108,2011-04-18,2,1,21.0,669,2760
109,109,2011-04-19,2,2,20.7,409,2795
110,110,2011-04-20,2,1,24.4,613,3331
111,111,2011-04-21,2,1,18.8,745,3444
112,112,2011-04-22,2,2,13.8,177,1506
113,113,2011-04-23,2,2,18.9,1462,2574
114,114,2011-04-24,2,2,23.8,1710,2481
115,115,2011-04-25,2,1,24.9,773,3300
116,116,2011-04-26,2,1,25.9,678,3722
117,117,2011-04-27,2,2,25.4,547,3325
118,118,2011-04-28,2,2,25.3,569,3489
119,119,2011-04-29,2,1,20.9,878,3717
120,120,2011-04-30,2,1,19.4,1965,3347
121,121,2011-05-01,2,2,18.5,1138,2213
122,122,2011-05-02,2,2,22.5,847,3554
123,123,2011-05-03,2,2,25.3,603,3848
124,124,2011-05-04,2,2,17.0,255,2378
125,125,2011-05-05,2,1,18.8,614,3819
126,126,2011-05-06,2,1,19.6,894,3714
127,127,2011-05-07,2,1,21.3,1612,3102
128,128,2011-05-08,2,1,21.7,1401,2932
129,129,2011-05-09,2,1,21.8,664,3698
130,130,2011-05-10,2,1,21.8,694,4109
131,131,2011-05-11,2,1,22.2,550,3632
132,132,2011-05-12,2,1,21.9,695,4169
133,133,2011-05-13,2,2,21.0,692,3413
134,134,2011-05-14,2,2,21.4,902,2507
135,135,2011-05-15,2,2,23.1,1582,2971
136,136,2011-05-16,2,1,23.7,773,3185
137,137,2011-05-17,2,2,23.0,678,3445
138,138,2011-05-18,2,2,22.6,536,3319
139,139,2011-05-19,2,2,21.8,735,3840
140,140,2011-05-20,2,1,22.0,909,4008
141,141,2011-05-21,2,1,24.7,2258,3547
142,142,2011-05-22,2,1,24.8,1576,3084
